nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
U85256.1,8375233.000000003,19403.20114809765,3560924371.0,6235.86534079118,2.380033287830121e-05,0.30270181517361455,148448448.68564963,148572725.34926197,10305.660137164423,11728.907376522524,19403.20114809765,62838.36310645147,3560918135.1346593,2.207385471770723e+16,51109.455729928944,25554.727864964472,17.724694785882324,0.16886326275889849,0.06670028568983877,mRNA
AF221906.1,7199899.000000016,20090.487768424853,3028714779.0,7636.3601372932535,2.5231835428061734e-05,0.2861501214710333,130511281.21783684,130631181.36367345,10496.610409409894,12044.928966835269,20090.487768424853,66574.33834034506,3028707142.6398625,1.7064505544468946e+16,54529.409373509785,27264.704686754892,18.12682111482905,0.16503880228363738,0.06720543256361106,mRNA
AF221908.1,1096499.9999999984,5334.951367928833,242402936.0,1266.0219500852754,0.00017753457972336247,0.509518571231439,12486800.138682768,12497504.641410459,2664.4747668541236,3037.2424071101736,5334.951367928833,16840.130754176378,242401669.9780499,156187622262075.97,13802.888347066204,6901.444173533102,11.387870623513713,0.2621564459701146,0.07649797214527751,mRNA
AF221909.1,2975296.000000002,9850.368645216093,1062460816.0,2517.2460314540385,5.556870083962511e-05,0.3788683587299695,48335181.722127326,48383980.50459338,4919.256064759361,5611.208652354879,9850.368645216093,35481.442410272466,1062458298.7539686,2341009569468872.0,29870.233757917587,14935.116878958794,16.245503547252877,0.18405510390357568,0.08922196353309958,mRNA
AF221910.1,1193571.0,4935.095132645269,297890531.0,944.1875928949448,0.000154717789445845,0.48681125168399886,14642762.232244708,14655995.639583902,2309.940134164061,2773.697124845684,4935.095132645269,14906.549776720209,297889586.8124071,214798208187502.34,12132.852651874524,6066.426325937262,12.26802781924553,0.2435269833685893,0.06463431360468906,mRNA
AF221911.1,6659858.999999996,24625.844740699627,2345280675.0,9127.867218805595,2.567621927130891e-05,0.265910713082163,105499434.44980349,105602410.98427497,12597.14456560857,14601.809734720138,24625.844740699627,79601.7211725601,2345271547.132781,1.115186920569172e+16,64999.91143783995,32499.955718919977,15.841091297849331,0.18868062724306828,0.06797924890755094,mRNA
AF221912.1,6453754.0000000065,19064.327199031028,2653123124.0,6116.0,2.9130332516547704e-05,0.30613676885959484,112752529.35484496,112852620.3904045,10708.889208925691,11908.315285097891,19064.327199031028,66705.13520142031,2653117008.0,1.273571392898074e+16,54796.81991632242,27398.40995816121,17.470844001002337,0.1712074144044329,0.074512022008031,mRNA
AF221913.1,1433915.9999999967,3295.2154079153834,513884328.0,526.2015676611721,0.00012088109298824599,0.49958224274729657,22988049.90588458,23010185.73181825,1579.1851312952663,1935.7655818938752,3295.2154079153834,10264.438086446204,513883801.79843235,529468647412772.25,8328.672504552329,4164.3362522761645,16.031657297836574,0.18669971447545863,0.06251127263335512,mRNA
AF221914.1,3499065.0000000014,8559.3283135819,1380461747.0,2293.2101010990737,5.611022754173851e-05,0.36997433544257113,58109572.51707569,58158964.42783483,4795.3241932763385,5485.401131214339,8559.3283135819,32454.758016675678,1380459453.7898989,3382465143318157.5,26969.35688546134,13484.67844273067,16.607171492120226,0.18020296074252085,0.06708505938575059,mRNA
AF221915.1,4960366.0,15315.855714477595,2055113108.0,5021.764777718678,4.482196139021462e-05,0.3592270286851181,82544094.91134313,82606041.70798798,7931.029905850361,9175.865416432627,15315.855714477595,56361.49359921444,2055108086.2352223,6823758126661850.0,47185.62818278181,23592.814091390905,16.64072669463163,0.17972394571398875,0.08212855250783486,mRNA
AF221916.1,3053019.000000004,9166.232490497703,1102947819.0,2446.7824059818495,5.251632345993691e-05,0.32921913831641175,50796998.73547805,50849884.74536203,4541.255645439771,5255.3341406699765,9166.232490497703,30785.410892077598,1102945372.217594,2585710778616602.0,25530.07675140762,12765.03837570381,16.638284509686308,0.17976570525515678,0.06073083812434653,mRNA
AF221917.1,6702373.0,18801.49637109304,2753702507.0,6418.263064390049,2.6955627009518367e-05,0.28249274065083774,119101696.10909909,119211720.79409423,9734.870458323292,11087.665677232919,18801.49637109304,59611.630748655145,2753696088.7369356,1.4211434374689078e+16,48523.96507142222,24261.98253571111,17.770078763014098,0.1683495295694189,0.06456187620908105,mRNA
AF221918.1,7349530.00000001,22365.206338482607,2874468964.0,9353.187171960228,2.480884265161624e-05,0.27326921526665104,124408302.7941282,124522177.69466875,11692.911796826378,13202.185345999163,22365.206338482607,82631.9872002898,2874459610.812828,1.550577273782266e+16,69429.80185429064,34714.90092714532,16.92738213111968,0.17668832294384504,0.08301923605590474,mRNA
AF221919.1,14404376.999999981,38099.2771001579,6213825131.0,13305.668436966982,1.4208644127175158e-05,0.2201872898645723,255058421.78766176,255266378.1383822,20651.217343581022,23114.762905282398,38099.2771001579,128801.52585701746,6213811825.331563,6.516092380788753e+16,105686.76295173506,52843.38147586753,17.707008209217385,0.16897631870622803,0.06619267910219588,mRNA
AF221920.1,6084528.999999994,17157.671509867156,2489912530.999999,5893.997760272133,2.963801032640875e-05,0.30072967507992815,107818979.90726678,107918766.12011692,9158.631761033135,10483.403775130468,17157.671509867156,60281.71939922404,2489906637.0022388,1.1646460080888494e+16,49798.31562409358,24899.15781204679,17.720185063998688,0.16882105544984474,0.06912331973834449,mRNA
AF221921.1,4520874.000000002,14989.585088026397,1583547876.0,4781.505171949792,4.0405166493617514e-05,0.31222867853785535,69605365.79933226,69668961.39578623,7786.4659873711325,8706.496911925384,14989.585088026397,49159.450714964114,1583543094.494828,4853764181967552.0,40452.953803038734,20226.476901519367,15.39644011298086,0.1942041836789773,0.07102834904160299,mRNA
AF221922.1,3616979.000000002,13115.087332618532,1069478867.0,4584.5508263836955,4.5157390555304095e-05,0.3168646926301066,50621573.84121284,50673307.706365734,6601.405739666963,7931.238841760488,13115.087332618532,47580.07830633339,1069474282.4491736,2567784113904025.0,39648.8394645729,19824.41973228645,13.995539880439674,0.2135767602152276,0.07082023698709829,mRNA
AF221923.1,4916674.999999996,13600.818899351349,1959923027.0,3499.000000000072,3.755925837413837e-05,0.3106422558671124,84345815.1150848,84422042.70869528,7440.692536355396,8487.721163010141,13600.818899351349,47488.446063419135,1959919528.0,7127081295108769.0,39000.724900409,19500.3624502045,17.155051963996982,0.1743918476954913,0.07028793885644133,mRNA
AF221924.1,9440819.000000026,28230.477043898474,3717290659.0,9795.819297862345,1.899552711828633e-05,0.2481306677554575,162058120.9400581,162208942.8628268,14939.45920024428,16824.96331294753,28230.477043898474,91141.63985521847,3717280863.180702,2.631174114467581e+16,74316.67654227094,37158.33827113547,17.165684559788474,0.17424468089021555,0.06437114013407283,mRNA
AF221925.1,9290093.99999997,27912.86781432643,3758755124.0,9810.356578831788,1.9375476717458464e-05,0.24237592015719034,163026544.49255258,163177704.97425482,14019.268539335491,15580.408169785913,27912.86781432643,98501.55163761506,3758745313.643421,2.6626963400664944e+16,82921.14346782916,41460.57173391458,17.54842787301755,0.17044183499716073,0.07206349970815204,mRNA
AF221926.1,784333.9999999993,3231.5885076871955,246282156.0,340.9135187658737,0.0002154694301152317,0.587161060905295,11286072.282132788,11297219.022906179,1521.7409022099107,1880.6242485866992,3231.5885076871955,9462.180696090596,246281815.08648124,127627157651513.22,7581.556447503897,3790.7782237519486,14.38937019449979,0.2076282320277776,0.0459364977279439,mRNA
AF221927.1,1538990.0,6065.030524253647,448516676.0,1384.5297196817469,0.00012042530057591885,0.4779085318525549,20632531.508102734,20651111.008948214,3208.67870807075,3755.5689565932144,6065.030524253647,17947.96424473026,448515291.4702803,426468385903902.2,14192.395288137046,7096.197644068523,13.406540333662164,0.22288951341822621,0.06587854873584052,mRNA
AF221928.1,4542605.999999993,13933.63486875369,1594664172.0,5179.32682936929,3.492855569394901e-05,0.31558787169446606,73902610.62142357,73980361.9428973,7350.112423141562,8482.521600656513,13933.63486875369,45525.075013391994,1594658992.6731706,5473093953202088.0,37042.55341273548,18521.27670636774,16.268769649277022,0.1838367681622234,0.07328396950217615,mRNA
AF221929.1,4195028.999999998,14530.842665277312,1485469251.0,5601.573084137649,4.108036758109024e-05,0.31631654233889117,66428961.62205628,66493299.614494756,8011.293676227172,9208.601771207275,14530.842665277312,49204.28265879095,1485463649.426916,4421358893622968.0,39995.68088758367,19997.840443791836,15.835161478515717,0.1887955820137347,0.06836769117330477,mRNA
AF221930.1,5877175.00000001,18770.284875982106,2179206867.0,7933.705526417116,3.096725892967279e-05,0.29579271604547347,94831683.85510339,94918645.52753083,10481.770598641464,11692.261611022954,18770.284875982106,69020.91437750358,2179198933.2944736,9009549268781050.0,57328.65276648062,28664.32638324031,16.135589608120096,0.1853306134711882,0.08037291301468777,mRNA
AF221931.1,6777272.999999996,19354.116658873114,2801452730.999999,7053.78763369646,2.6608539058900748e-05,0.28558187513291344,121178953.1184867,121291103.95518759,10581.178637899035,11934.505483910045,19354.116658873114,60600.85004038332,2801445677.212365,1.4711531898668124e+16,48666.34455647327,24333.172278236634,17.880193570258534,0.16730427296396957,0.06331436647910073,mRNA
AF221932.1,6475724.99999999,19885.865533353804,2544617899.0,6440.0479589004035,2.825938408440758e-05,0.2745108565350136,110007901.61049451,110108228.03500369,10347.313306758566,11560.065725846162,19885.865533353804,66796.54276345928,2544611458.952041,1.2123821881008374e+16,55236.47703761312,27618.23851880656,16.987735212735977,0.17605569345349906,0.06725323322958678,mRNA
