nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
NC_007438.1,4833945.999999999,16155.464458050186,1640730116.0,6023.1796378510735,3.116846292173448e-05,0.20683545156530703,77867584.06820013,77953863.96621144,8309.299963294863,9233.942953118432,16155.464458050186,50951.599476252166,1640724092.820362,6076804907262598.0,41717.65652313373,20858.828261566865,16.10849274447835,0.18561474302280778,0.062300255133080205,mRNA
NC_007438.1,3302442.0000000065,10091.686425041808,1168741620.0000002,2910.0847506500513,5.036676899498402e-05,0.29828096068680476,53376648.3943285,53430212.53063122,5455.337494339293,6303.656517542291,10091.686425041808,33429.50358132099,1168738709.9152496,2854787611068421.5,27125.8470637787,13562.92353188935,16.162781479380527,0.18504441994477822,0.06930982372569414,mRNA
NC_007438.1,1704781.9999999988,6776.202913906827,456661460.0,1720.2406401489927,7.43008001414062e-05,0.26614284299434743,23840648.54209037,23872079.865617033,3492.2499143150335,4067.6210469540165,6776.202913906827,22558.56166309658,456659739.75935984,569876197110398.1,18490.940616142565,9245.470308071282,13.98457312553182,0.21366941349203866,0.06624171242710561,mRNA
NC_007438.1,2279193.000000001,8819.112858808123,724671771.0,3012.73124259157,6.171775126839482e-05,0.2957783341941161,35539668.286451325,35581851.8838358,4370.335316993235,5045.874698331159,8819.112858808123,25716.318455189714,724668758.2687575,1266068183483229.2,20670.443756858556,10335.221878429278,15.59309294406016,0.1916484308892709,0.06754233372266984,mRNA
NC_007438.1,3188736.0000000033,11285.70916822561,1010279784.0,4405.093292531097,4.6726978965960135e-05,0.24179593697190804,48675824.09335164,48730362.848939046,5947.093432976895,6545.444915495675,11285.70916822561,41713.2280285053,1010275378.9067075,2374648263389259.0,35167.783113009624,17583.891556504812,15.264927574233674,0.19583337416566315,0.07973200148724685,mRNA
NC_007438.1,1775739.0000000012,7512.405451826167,580997747.0,2195.3309460209575,8.128071373852421e-05,0.3350999582619075,28094426.801382657,28126924.703284148,4060.4683216276817,4592.198763945806,7512.405451826167,28902.727297263904,580995551.669054,791123893264216.1,24310.5285333181,12155.26426665905,15.821259093471866,0.18881608872630415,0.09644673806796172,mRNA
NC_007438.1,3294492.999999996,10285.706698743023,1133762331.0,2887.034043319321,4.8363536766760025e-05,0.29101357044237675,52670837.3553797,52726018.97067654,4914.400954285237,5639.527854467951,10285.706698743023,33277.861071909094,1133759443.9659567,2780033076496142.5,27638.33321744114,13819.16660872057,15.987539616985002,0.18706028562687033,0.08146487569009653,mRNA
NC_007438.1,3491824.999999994,13266.655199268447,1105050427.0,5014.505324794671,3.875719239461702e-05,0.2342199612551289,55083431.10777114,55151393.417528,7090.357069438482,7712.367996749812,13266.655199268447,42405.75433972642,1105045412.4946752,3041676195894951.5,34693.38634297661,17346.693171488307,15.77496899408511,0.1894521605595828,0.06707531335873321,mRNA
NC_007438.1,4187709.9999999944,13942.778911870813,1375988195.9999993,4611.109461185901,3.526191323340605e-05,0.23134873447853613,66144720.4247668,66219502.49548432,7641.608280132017,8451.273634126963,13942.778911870813,45007.98914365767,1375983584.8905382,4385022510749454.0,36556.71550953071,18278.357754765355,15.79496202572931,0.18930160385976894,0.05868293227681006,mRNA
NC_007438.1,1935215.0000000007,7392.820545372475,569080163.0,2367.6364084724128,6.493679858138069e-05,0.2907436997237176,29499625.542714197,29538827.72019998,3798.9385170467285,4427.463920452959,7392.820545372475,24952.30424106373,569077795.3635916,872542343083654.8,20524.840320610772,10262.420160305386,15.243590785889003,0.1960522017470924,0.06638731514094791,mRNA
