nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
NC_007438.1,2745974.000000004,9611.961674609862,763894052.0,3235.3496865639167,4.807037502904245e-05,0.2385751847388182,39010661.915398106,39060011.28606547,4769.788315735854,5396.812696673521,9611.961674609862,33441.75369888413,763890816.6503134,1525684481667561.8,28044.94100221061,14022.470501105305,14.206493548517956,0.21043185918708884,0.08613185199596911,mRNA
NC_007438.1,307519.9999999998,1427.3221936772734,92449416.0,156.84273364347501,0.0004324921956295528,0.6835383383077862,4649407.149657685,4655244.449068459,533.9566785040371,698.8313904372253,1427.3221936772734,5037.299551372708,92449259.15726636,21671300880582.695,4338.468160935483,2169.2340804677415,15.119039898730776,0.1975043277262944,0.07408274372812537,mRNA
NC_007438.1,3329939.0000000023,13414.33358590251,897893699.0,6082.340330037734,4.104179285766693e-05,0.21346434321617094,45558309.84141054,45613970.595023096,7454.042368808112,8375.553594144505,13414.33358590251,45208.158872165885,897887616.65967,2080634313443631.5,36832.60527802138,18416.30263901069,13.68142474724327,0.21839207893964854,0.07383433819471853,mRNA
NC_007438.1,2489015.000000005,10010.535984458125,673320179.0,4122.0595434740335,5.812205497623211e-05,0.2550235442355811,33841201.54166622,33880256.6054899,5269.351274660513,5721.836884588085,10010.535984458125,33064.602288145456,673316056.9404565,1147871787653842.0,27342.765403557372,13671.382701778686,13.596222417971024,0.21976209629820578,0.0639238960990912,mRNA
NC_007438.1,1351200.0000000019,6089.851837966253,428258360.0,1723.010477036813,0.00011051904479968408,0.34213883868537337,20485321.731923472,20508223.160798788,3117.305650066879,3787.86728708946,6089.851837966253,21351.971446501695,428256636.98952293,420587217213123.9,17564.104159412236,8782.052079706118,15.160836095266019,0.19698643239747687,0.06679531605916841,mRNA
NC_007438.1,2067342.9999999981,6624.090654077367,596598419.0,2173.4962419383946,5.965789582731721e-05,0.2761715703411244,31246535.768019475,31288846.60089905,3154.547579899178,3605.733370493381,6624.090654077367,17638.018783516833,596596245.5037581,978991921614591.9,14032.285413023452,7016.142706511726,15.114345209294976,0.1978509481478308,0.05401431356297257,mRNA
NC_007438.1,3280502.0000000075,14396.301614385284,972221668.0,5005.0,4.663920339021273e-05,0.22565642700141275,46648184.58516557,46699082.78315951,7388.538888273219,8695.549749489874,14396.301614385284,45303.71045194968,972216663.0,2180804332788384.8,36608.160702459805,18304.080351229903,14.219831167658322,0.21004712578402884,0.06504247863276444,mRNA
NC_007438.1,878623.0,3731.5711203179394,251377139.0,787.531435261228,0.00014644126851524108,0.3832485368174063,12950031.80292373,12966839.11928034,1890.2467916318692,2158.166560736126,3731.5711203179394,11627.513295815777,251376351.46856475,168138916745298.94,9469.34673507965,4734.673367539825,14.739008429011909,0.20267705335260053,0.059572821601456494,mRNA
NC_007438.1,6907697.99999999,20612.44255601162,2464528052.0,8285.818078951705,2.3307330459438187e-05,0.20647597213250005,113465887.24483696,113583529.46124141,10519.049107656598,11614.549991380934,20612.44255601162,66506.54428712802,2464519766.181921,1.2901218164872694e+16,54891.99429574709,27445.997147873546,16.426005775706628,0.1820922320710279,0.07450158225855665,mRNA
NC_007438.1,4370840.999999999,14398.367750058951,1443908235.0,5518.194187358864,3.4623390174415716e-05,0.21736689036307855,68696643.09418726,68772425.40415126,7629.078718615818,8430.291241589515,14398.367750058951,50103.80818597725,1443902716.8058126,4729646495969550.0,41673.51694438774,20836.75847219387,15.717030908739822,0.1902469656170969,0.07600697532193006,mRNA
NC_007438.1,2923123.000000001,11269.539016542007,942169427.0,3739.0102710695637,4.937641465423566e-05,0.2327769454153457,45630705.69667675,45683488.48551634,5882.218861435921,6425.166137696673,11269.539016542007,34841.33031707764,942165687.9897289,2086981120206303.8,28416.16417938097,14208.082089690484,15.610258513472317,0.19144039632037907,0.0710745013506873,mRNA
NC_007438.1,668227.0000000015,1672.377332219811,265434371.0,252.62714849796083,0.00023644659674032872,0.6770441263031062,12212508.9436782,12225411.756514873,643.9237377092184,904.4556927817738,1672.377332219811,5102.05840913112,265434118.3728515,149460692616332.1,4197.602716349346,2098.801358174673,18.275988464516058,0.16373898903373743,0.06269267062084222,mRNA
NC_007438.1,5351828.000000001,15553.802285247202,1770681904.0000002,6214.478704611166,2.73426824130621e-05,0.2031995903821081,85338485.46659051,85435848.28829171,8626.90628483321,9875.740109045732,15553.802285247202,50430.44310344926,1770675689.5212955,7299284172739997.0,40554.70299440353,20277.351497201766,15.945670426364691,0.1875920635996243,0.06126771274306504,mRNA
NC_007438.1,3693105.9999999967,12782.44865482485,1243349004.0,4645.286650959706,3.926234448726902e-05,0.25208311251840937,59985402.60481907,60054470.44877387,7101.673276019796,7968.859063778176,12782.44865482485,40270.83384796081,1243344358.713349,3606539420882654.0,32301.974784182632,16150.987392091316,16.242534767434,0.1840609577428845,0.0648750034679077,mRNA
NC_007438.1,4366228.999999996,11309.043231848114,1652517458.9999998,3362.978154692067,3.6492207196034265e-05,0.24661617920678439,75955665.80618215,76035242.21963182,5683.1397672198145,6430.989110392247,11309.043231848114,38450.85790712358,1652514096.021845,5781358059398081.0,32019.86879673133,16009.934398365665,17.39617088480293,0.1720050733758572,0.0687031680829001,mRNA
NC_007438.1,4356769.000000005,18770.106118190026,1251360027.0,6797.830344783105,3.0374190904620648e-05,0.19934385905898033,63538824.25939389,63618999.463854864,10200.298832966793,11282.643261263675,18770.106118190026,64157.72188180253,1251353229.1696553,4047377092781965.5,52875.07862053886,26437.53931026943,14.583932326775605,0.20481960176846348,0.08551674650240862,mRNA
NC_007438.1,3754916.000000002,8431.389133594032,1387122168.0,2489.0385424462575,4.181185411338094e-05,0.2974593027257491,64279698.75141884,64348045.07455474,4587.952173565244,5564.775680884326,8431.389133594032,30715.444639507954,1387119678.9614575,4140670904916929.0,25150.668958623628,12575.334479311814,17.118811379913375,0.17485231030817697,0.07516446420000687,mRNA
NC_007438.1,4244766.0,10559.948497685305,1518597172.0,3272.352433592956,3.604438972607677e-05,0.24082201361076913,71394022.45275563,71471921.02743113,5814.728218571831,6445.696808870078,10559.948497685305,33332.38747794312,1518593899.6475663,5108235495351353.0,26886.690669073043,13443.345334536521,16.81930698953856,0.17792271282813335,0.06996272588328137,mRNA
NC_007438.1,3268448.999999999,10012.903432229607,1285086371.0,2914.6459148156987,5.191045253166462e-05,0.3170711001978821,57327796.84544376,57384194.10142907,5410.763116369198,6200.23349170035,10012.903432229607,31974.31034281051,1285083456.3540852,3292945732670486.5,25774.07685111016,12887.03842555508,17.539755659471442,0.17051602935409546,0.06603424909549038,mRNA
NC_007438.1,3454501.999999999,10603.6046629081,1316825964.0,3063.1851601375747,4.737778894516972e-05,0.29349904320148723,59749570.86590608,59810508.7408632,5351.645432315803,6146.009154140615,10603.6046629081,33708.06619975149,1316822900.8148398,3577296955840872.5,27562.057045610876,13781.028522805438,17.296145975861673,0.17291664251779051,0.06543152643423641,mRNA
NC_007438.1,3273163.0000000037,9384.887672909892,1174012339.0,2902.000865373814,4.9900763675176936e-05,0.3054149350729334,53680542.38799116,53735402.43540782,4830.59868213411,5528.164585238549,9384.887672909892,33108.80424299892,1174009436.9991345,2887493474895232.5,27580.639657760374,13790.319828880187,16.40020444688856,0.18240006343847404,0.06975507563213076,mRNA
NC_007438.1,1670157.0,5635.128217975829,573539907.0,1343.0456899968278,8.26269626148919e-05,0.35492154135554077,28224952.882136583,28259102.867866278,2767.5658152711612,3387.199233079168,5635.128217975829,18190.670045350944,573538563.95431,798576894896648.0,14803.470812271775,7401.735406135887,16.899580627531773,0.1769202462869822,0.061958246264723904,mRNA
NC_007438.1,3645510.000000009,12500.308282362665,1294071172.0,4396.341442466708,4.498684683350193e-05,0.2696823172160949,59191644.11077081,59251890.07457003,6892.169876441236,7853.597053482587,12500.308282362665,43844.73198891223,1294066775.6585574,3510786477408930.5,35991.13493542964,17995.56746771482,16.236862362404892,0.18413121039105748,0.07708015304160871,mRNA
NC_007438.1,4323435.000000001,10875.814787364841,1542921107.0,4279.731977386847,3.5851123007516004e-05,0.24039603509080743,72179342.75104351,72257080.3532737,5963.887008968141,6665.38507104223,10875.814787364841,38028.28592976119,1542916827.2680225,5221085661179453.0,31362.900858718956,15681.450429359478,16.69490642302787,0.17924349353334706,0.0687221537990545,mRNA
NC_007438.1,3736915.0,14704.93223027722,1201662491.0,4839.652479063786,4.1478064125087136e-05,0.22355610098289333,56740769.64097256,56801879.8036932,7703.053330347759,8885.966038464936,14704.93223027722,49487.10402499209,1201657651.3475208,3226453549233209.0,40601.13798652716,20300.56899326358,15.18385343016166,0.19680082371046542,0.07610333671690149,mRNA
